msisdn,destination,duration,event_type,timestamp
355672973852,355629669758,278,DATA,2025-05-11 23:18:57
355666797094,355654480748,357,VOICE,2025-05-25 17:48:35
355636507745,355624575743,530,DATA,2025-04-29 09:22:59
355692711992,355656161077,499,SMS,2025-04-30 08:10:08
355676992208,355697918034,291,DATA,2025-05-19 02:49:18
355616791190,355621527183,425,VOICE,2025-05-05 15:00:01
355624540704,355692687821,529,SMS,2025-05-27 13:05:29
355646697526,355683477205,424,VOICE,2025-05-14 07:11:18
355644584864,355633023471,194,SMS,2025-05-22 16:35:16
355628268227,355699889844,66,SMS,2025-05-01 03:14:06
355686820774,355637435163,595,DATA,2025-05-20 18:39:29
355695705508,355668968164,119,DATA,2025-05-22 17:16:16
355618522501,355688431505,135,DATA,2025-05-11 15:15:43
355676893571,355633390767,516,SMS,2025-05-15 01:11:33
355659001093,355643163168,412,DATA,2025-04-30 18:58:14
355657733872,355621708863,84,DATA,2025-05-06 15:41:46
355698442409,355637054224,495,DATA,2025-05-19 15:40:05
355668509382,355674487536,323,VOICE,2025-05-15 08:54:23
355613596445,355696993680,340,DATA,2025-05-20 06:49:10
355685249923,355632725021,393,SMS,2025-05-03 03:13:10
355635525424,355655802592,15,DATA,2025-05-20 03:26:45
355660725184,355694684453,139,SMS,2025-04-29 09:12:03
355656830539,355688528436,391,SMS,2025-05-07 09:53:32
355653786159,355618098380,307,SMS,2025-05-08 17:33:20
355684355544,355631741672,340,SMS,2025-05-16 21:51:36
355612235316,355678482434,7,SMS,2025-05-28 02:57:36
355622462541,355621885384,130,DATA,2025-05-07 13:47:43
355631044612,355633605431,391,DATA,2025-05-24 11:11:55
355642845346,355612226741,467,VOICE,2025-05-23 03:07:55
355615226877,355629942157,34,SMS,2025-05-08 06:31:12
355699677404,355624741095,116,SMS,2025-05-04 00:58:54
355682059018,355679312222,181,VOICE,2025-05-10 05:51:18
355646220801,355640061679,408,SMS,2025-05-10 10:52:29
355636795799,355681646542,584,DATA,2025-05-05 19:33:40
355665987560,355619957242,234,SMS,2025-05-19 13:19:19
355639770254,355686381154,507,SMS,2025-05-25 16:09:06
355682683019,355692088114,495,VOICE,2025-05-21 06:54:37
355685638747,355699805067,422,SMS,2025-05-03 12:55:56
355630366772,355660327912,204,DATA,2025-05-23 16:50:15
355688654527,355642226185,424,VOICE,2025-05-14 03:17:14
355639383446,355662696381,140,SMS,2025-05-02 04:12:46
355667333758,355671884427,77,SMS,2025-05-13 13:13:49
355680972127,355671986611,562,VOICE,2025-05-19 17:45:50
355685498894,355651395679,208,SMS,2025-05-10 19:05:11
355698476717,355631073473,200,SMS,2025-05-20 03:36:01
355640672614,355613159055,348,VOICE,2025-05-01 01:48:02
355653407405,355689204300,437,SMS,2025-05-22 02:30:16
355629440288,355694655254,376,VOICE,2025-05-10 01:51:52
355646523326,355683168558,532,VOICE,2025-05-17 07:42:58
355626140542,355675787112,480,DATA,2025-05-17 10:48:51
355666838452,355692544496,192,VOICE,2025-05-24 17:58:37
355621078847,355646259053,160,DATA,2025-05-01 15:12:47
355636511654,355652737555,46,VOICE,2025-05-04 05:03:40
355630917476,355673622429,505,SMS,2025-05-02 05:48:49
355663909365,355615190884,522,SMS,2025-05-27 21:13:01
355667204492,355656234603,250,DATA,2025-04-30 18:23:27
355619846154,355657827315,125,DATA,2025-05-18 17:05:40
355644962382,355646076549,512,SMS,2025-05-21 09:25:34
355656866970,355615420051,166,DATA,2025-05-06 12:23:23
355648569771,355680236005,575,VOICE,2025-05-22 21:48:49
355681094257,355646077453,466,VOICE,2025-05-22 08:32:09
355685017287,355647032200,80,VOICE,2025-04-30 15:11:20
355695236757,355670232444,406,SMS,2025-05-24 19:41:13
355685410560,355641500796,456,VOICE,2025-05-26 22:03:28
355630038302,355641311762,555,VOICE,2025-05-15 04:09:03
355638612325,355634736859,494,SMS,2025-05-17 11:54:15
355687690318,355642090885,25,VOICE,2025-05-25 22:57:53
355624667206,355621388585,193,SMS,2025-05-17 16:13:52
355669771903,355657400019,421,SMS,2025-05-17 01:00:40
355629185827,355693031343,527,SMS,2025-05-05 22:46:07
355686830751,355628823520,420,DATA,2025-05-15 11:23:08
355645122351,355665458996,95,SMS,2025-05-22 20:04:06
355646613439,355660732417,169,VOICE,2025-05-09 12:16:16
355640099431,355662834237,472,SMS,2025-05-06 07:39:45
355662236582,355635185952,485,VOICE,2025-05-07 14:27:55
355663169120,355676529260,516,VOICE,2025-05-14 23:33:57
355648131761,355649498681,465,SMS,2025-05-29 03:14:27
355668453949,355681748312,421,SMS,2025-05-25 13:14:35
355685080139,355644412806,20,VOICE,2025-05-16 09:59:38
355612611367,355663797619,288,SMS,2025-05-07 22:21:11
355665633735,355648243351,307,SMS,2025-05-08 19:52:23
355652983616,355647058647,530,SMS,2025-05-05 17:36:19
